alert_id,cloud_provider,alert_type,severity,status,region,service,account_id,resource_id,user,source_ip,dest_ip,timestamp,detected_by,remediation_action,policy_id,policy_name,compliance_standard,is_automated,mfa_enabled,encryption,port,data_volume_mb,num_resources_affected,num_users_affected,external_sharing,alert_description,tags,escalation_required,acknowledged_by,time_to_remediate_min,geo_country,geo_city,alert_correlation_id,threat_intelligence_source,remediation_sla,user_role,device_type,cloud_account_type,alert_suppression_reason,false_positive_reason,linked_ticket_id,historical_alert_count,anomaly_score,cloud_tagging,alert_source,remediation_status,patch_status,vulnerability_cve_id,data_sensitivity,api_endpoint,cloud_subscription_name,alert_escalation_level,incident_priority,alert_age_minutes,user_department,cloud_billing_account,resource_owner,remediation_owner,alert_notes_comments,alert_update_timestamp,alert_closure_reason
ALERT-100010,AWS,Disabled Logging,High,Resolved,us-west-2,Lambda,3362dcd5-17a3-425b-a5ee-8e3fc674066a,e73a8c78-1f8c-426b-8db8-dad1c13d9ac7,kimberly24@yahoo.com,39.226.116.41,199.239.136.115,2/11/2025 19:37,WIZ Vertex FSOAR,Notify Admin,POL-9786,Disabled Logging Policy,None,TRUE,FALSE,None,8080,15.85,8,2,TRUE,Alert for Disabled Logging detected in Lambda on AWS,"dev,prod",TRUE,daykelly@collins-shaw.com,196,JP,Tokyo,22e1b46b-7207-4971-add9-19cb0dff2ad3,VirusTotal,4 hours,Manager,Workstation,Production,Maintenance,Test system,TICK-6384,39,0.09,Env=Dev,Manual,Pending,Patched,CVE-2025-9621,PII,,AWS-Prod,Tier 2,P4,924,Finance,LLKO32632650031787,Rachel Thomas MD,Karen Hernandez,Summer toward same fight.,4/23/2025 4:02,False Positive
ALERT-100011,AWS,Malware Detected,Medium,Open,centralus,S3,5998a1c7-628b-4d1b-9db4-1e946584b4ce,9d4acc5d-db0a-4359-a4e0-f09eca189cf5,vhays@flores-baker.net,159.127.109.95,154.225.253.149,4/11/2025 21:28,WIZ Vertex FSOAR,Rotate Keys,POL-1035,Malware Detected Policy,ISO 27001,FALSE,FALSE,TLS,5432,16.43,9,4,TRUE,Alert for Malware Detected detected in S3 on AWS,gdpr,TRUE,,,JP,Tokyo,e3930cfa-21f7-4974-a335-025b3619143d,Talos,8 hours,Developer,Workstation,Staging,None,None,TICK-3080,1,0.58,Env=Test,Automated,Pending,Unpatched,CVE-2010-9301,None,/getUser,AWS-Prod,Tier 3,P3,673,HR,HXIY53833102250017,John Park,Loretta Robinson,Detail ago strategy assume four player also.,4/19/2025 10:17,Monitoring
ALERT-100012,AWS,Failed MFA,High,Open,europe-west2,S3,10bb1cbe-7353-4609-936e-dd9ae8dc95d2,bfa72004-2a82-4203-a36d-ef5888bd3427,danielle35@stevens.com,213.55.194.133,150.227.53.221,3/2/2025 17:20,WIZ Knex Cloud,Update Policy,POL-9238,Failed MFA Policy,PCI DSS,TRUE,TRUE,None,443,160.49,10,1,TRUE,Alert for Failed MFA detected in S3 on AWS,"dev,gdpr",TRUE,,,IN,Bangalore,1f3e8aff-72a3-4b85-9226-c32ca85cdd59,IBM X-Force,4 hours,Developer,Mobile,Staging,Known benign,None,TICK-2706,28,0.8,Owner=Security,Manual,In Progress,Not Applicable,CVE-2011-7947,None,/getUser,Azure-Dev,Tier 1,P2,673,Engineering,ODWC86679905377077,Christopher Baker,Ivan Martin,Little carry give set.,4/20/2025 4:53,False Positive
ALERT-100013,GCP,Unusual Data Access,Low,Open,southamerica-east1,Cloud SQL,c9da47d3-ab80-4367-889b-8e5968bcd202,7a73c018-2f65-4ba2-ae78-a56b31abb874,wilsonamy@hotmail.com,37.182.90.157,181.94.199.10,2/6/2025 8:08,WIZ AutoFocus,Auto-Remediate,POL-4346,Unusual Data Access Policy,SOC2,TRUE,FALSE,SSL,22,378.32,5,4,FALSE,Alert for Unusual Data Access detected in Cloud SQL on GCP,prod,FALSE,,,JP,Tokyo,4d1a2580-e715-4f08-bc7a-8b840195dce8,AlienVault,4 hours,Developer,Workstation,Staging,Whitelisted,Test system,TICK-2713,16,0.45,Env=Dev,Manual,In Progress,Patched,CVE-2024-8212,None,/deleteFile,GCP-Test,Tier 1,P4,855,HR,EUHF59225624160601,Dylan Warren,Jason Moore,Others phone set you.,4/19/2025 9:59,Monitoring
ALERT-100014,GCP,Failed MFA,Critical,Open,ap-southeast-1,Cloud SQL,5c8dd4c4-0676-4e1a-b1d6-c62d73b09c9c,902f76bd-2b08-4238-ad9e-aa75dc732179,loganerin@anderson.org,203.137.44.26,219.226.130.134,3/24/2025 5:44,WIZ AutoFocus,Revoke Access,POL-6718,Failed MFA Policy,NIST,TRUE,FALSE,TLS,22,331.23,8,5,FALSE,Alert for Failed MFA detected in Cloud SQL on GCP,"prod,critical,gdpr",FALSE,,,DE,Berlin,c2a98ea8-d336-441d-9289-1ead580feb1a,VirusTotal,72 hours,Intern,IoT Device,Production,Known benign,Test system,TICK-5579,48,0.78,Dept=Finance,Third-Party,Pending,Unpatched,CVE-2025-6463,PHI,/getUser,GCP-Test,Tier 2,P2,634,Finance,XJGS71972971801301,Janet Fisher,David Pollard,Really finally now purpose trial be.,4/21/2025 22:51,Mitigated
ALERT-100015,GCP,Unusual Login,Critical,Open,us-west-2,Cloud Storage,a86512a0-96bf-45fe-9a84-304d808801ee,6e21f7c6-6f9c-4ec9-b007-3bacafa8bb1c,amanda39@stephens.com,222.191.151.193,193.16.151.22,2/19/2025 5:15,WIZ Vertex FSOAR,Auto-Remediate,POL-5616,Unusual Login Policy,GDPR,FALSE,TRUE,TLS,21,40.57,8,3,TRUE,Alert for Unusual Login detected in Cloud Storage on GCP,external,FALSE,,,JP,Tokyo,73b7c901-3520-4106-bea9-56973e675a6f,AlienVault,8 hours,Admin,IoT Device,Production,Whitelisted,None,TICK-6527,27,0.55,Env=Test,Third-Party,Complete,Not Applicable,CVE-2015-1791,None,,Azure-Dev,Tier 1,P3,525,IT,MVNW26114945762408,Arthur Anderson,Sierra Goodman,Bad base ability their hospital responsibility medical.,4/22/2025 11:44,False Positive
ALERT-100016,AWS,S3 Bucket Exposure,Medium,Open,asia-east1,IAM,23f1e2b0-d636-4166-a950-2d421829aa7f,cc3a8c31-f9ee-4e3f-a3c1-d435c2498f32,paul20@white.biz,221.139.148.88,217.207.205.36,3/24/2025 7:43,WIZ Blaze,Rotate Keys,POL-1158,S3 Bucket Exposure Policy,NIST,TRUE,TRUE,RSA-2048,80,153.21,6,5,TRUE,Alert for S3 Bucket Exposure detected in IAM on AWS,"test,prod",FALSE,,,JP,Tokyo,6941428d-3c68-4ea4-93c2-c3d711454b3b,AlienVault,24 hours,Analyst,Server,Production,Whitelisted,Test system,TICK-3781,10,0.4,Dept=Finance,Automated,Complete,Patched,CVE-2015-1598,None,/downloadReport,GCP-Test,Tier 3,P4,109,HR,EYOJ76811447537599,Jennifer Nash,Kristen Rice,Nature first indicate research.,4/24/2025 15:25,False Positive
ALERT-100017,Azure,Open Port,Critical,False Positive,us-east-1,Active Directory,c8eda45c-fb14-4912-93f3-59c4e5629ad3,f01273a8-9130-438f-af4a-3b47a183eea7,maria66@hill.net,19.122.10.203,172.186.18.216,2/11/2025 1:07,WIZ Vertex FSOAR,Notify Admin,POL-2684,Open Port Policy,SOC2,FALSE,TRUE,None,22,178.56,3,4,TRUE,Alert for Open Port detected in Active Directory on Azure,critical,FALSE,howelltonya@hotmail.com,,BR,Sao Paulo,577402dd-8c1a-4a74-80a2-f4413c4029b3,IBM X-Force,8 hours,Intern,Workstation,Production,Whitelisted,Misclassification,TICK-1512,21,0,Dept=Finance,Automated,In Progress,Not Applicable,CVE-2010-1550,PII,,AWS-Prod,Tier 2,P2,960,HR,GRMC52647333086954,Bonnie Nicholson,Bob Phillips,Where outside table suggest.,4/20/2025 5:12,Mitigated
ALERT-100018,GCP,Expired Certificate,High,Open,eu-west-1,GKE,cf02fd5a-528c-4db0-beb6-46456233d265,e656266c-4c5c-4a69-a144-5fdc2769d3dd,danastewart@ortiz.com,163.214.195.9,121.109.8.105,2/16/2025 0:05,WIZ Knex Cloud,Rotate Keys,POL-1634,Expired Certificate Policy,None,TRUE,TRUE,SSL,3306,127.01,5,2,TRUE,Alert for Expired Certificate detected in GKE on GCP,pci,FALSE,,,DE,Berlin,3326a2b6-bdfa-43ce-bbc0-f85ec0b917a4,IBM X-Force,4 hours,Manager,Server,Production,Maintenance,Misclassification,TICK-9061,49,0.21,Env=Test,Automated,Pending,Unpatched,CVE-2024-4734,PCI,,AWS-Prod,Tier 3,P4,583,HR,LSMZ20718331395066,Joshua Roberts,Anna Murray,Bag music include wall particularly resource member.,4/25/2025 11:59,Monitoring
ALERT-100019,Azure,Privilege Escalation,High,False Positive,asia-east1,Active Directory,5646235d-1896-4185-949e-5fef19b2fb3c,0e4950bb-2359-45a3-b544-6aa0cd9d2b0a,brianna55@sawyer-tanner.com,39.88.44.109,96.113.125.124,3/28/2025 10:57,WIZ Blaze,Block IP,POL-1452,Privilege Escalation Policy,NIST,FALSE,TRUE,RSA-2048,8080,253.08,1,1,FALSE,Alert for Privilege Escalation detected in Active Directory on Azure,"critical,pci",TRUE,alexander89@anderson-russo.net,,BR,Sao Paulo,22d306a0-6af4-471e-904c-07ee0a2adf89,Internal,4 hours,Admin,Workstation,Test,Whitelisted,Misclassification,TICK-3111,26,0.87,Env=Test,Automated,Pending,Not Applicable,CVE-2012-2712,PII,/deleteFile,GCP-Test,Tier 1,P2,4,IT,WSZE41527623155895,Nancy Graham,Christopher Garcia,Parent black especially expect simply north.,4/25/2025 1:20,False Positive
ALERT-100020,Azure,Open Port,Medium,Open,centralus,Blob Storage,9e9170e6-2583-4ebf-b3e7-c6cbd79a234d,962942b4-ed93-4ec4-a6d6-a067e9fa67df,juanhill@gmail.com,195.70.176.150,223.237.193.121,3/1/2025 5:53,WIZ Vertex FSOAR,Block IP,POL-8066,Open Port Policy,NIST,FALSE,FALSE,AES-256,8080,466.41,9,3,FALSE,Alert for Open Port detected in Blob Storage on Azure,"external,critical",FALSE,,,US,San Francisco,21b6151c-48fd-40c6-b4a0-e2ff65da6715,Talos,8 hours,Intern,IoT Device,Production,Known benign,None,TICK-8540,13,0.33,Env=Prod,Manual,Complete,Not Applicable,CVE-2018-3639,PHI,/login,AWS-Prod,Tier 2,P3,761,HR,IOVV93306974455323,Jessica Baird,Tiffany Floyd,Event create data deal imagine test like.,4/21/2025 7:17,Resolved
ALERT-100021,GCP,Data Exfiltration,Low,Investigating,centralus,VPC,5ce48059-bb24-40c7-9202-2cb33a28e14b,095aef97-fb68-4a4e-8340-ddd2fd309fd8,mary14@gray.com,193.86.91.170,30.152.36.53,4/22/2025 10:02,WIZ Vertex FSOAR,Auto-Remediate,POL-7653,Data Exfiltration Policy,CIS,FALSE,FALSE,None,5432,43.56,10,5,FALSE,Alert for Data Exfiltration detected in VPC on GCP,"internal,pci",TRUE,conradadam@bailey-pena.com,,US,San Francisco,b8b4795a-6b05-4d46-ace2-87f507c93a64,IBM X-Force,4 hours,Analyst,IoT Device,Staging,None,Test system,TICK-8016,28,0.6,Env=Test,Third-Party,In Progress,Not Applicable,CVE-2023-9391,PII,/getUser,Azure-Dev,Tier 2,P4,1157,HR,QPRM76045096617819,Victoria Stevenson,Christine Santiago,Myself dog travel miss.,4/22/2025 3:03,False Positive
ALERT-100022,GCP,Resource Misconfiguration,High,False Positive,eu-west-1,VPC,a6745045-0de1-46f0-a932-5e9377443724,c82ec392-6224-4c43-a51c-a9e20c94af01,carolynkelley@duncan-pennington.net,13.191.44.153,202.152.191.82,2/18/2025 21:11,WIZ Knex Cloud,Auto-Remediate,POL-9445,Resource Misconfiguration Policy,SOC2,TRUE,TRUE,TLS,3389,116.88,4,2,TRUE,Alert for Resource Misconfiguration detected in VPC on GCP,pci,FALSE,smithangela@hall.info,,US,San Francisco,c87a0cf3-0740-4f6e-bd44-66f2c32631d0,AlienVault,24 hours,Manager,Workstation,Production,Maintenance,Behavior expected,TICK-2386,0,0.43,Owner=Security,Third-Party,Pending,Not Applicable,CVE-2011-2786,PHI,/login,GCP-Test,Tier 2,P1,701,Engineering,YPAA08423383518140,Michael Lamb,Wendy Kline,Building again guess black.,4/20/2025 13:00,Monitoring
ALERT-100023,GCP,Expired Certificate,High,Open,southamerica-east1,Compute Engine,cbb3ae57-dc2f-4e9b-8c0c-7c0942540373,27a99ce6-d08f-405e-b5c3-ac8d142a2e83,michaelraymond@morgan.com,28.119.188.93,152.91.116.102,2/23/2025 22:34,WIZ Blaze,Update Policy,POL-7547,Expired Certificate Policy,GDPR,TRUE,TRUE,AES-256,5432,256.19,4,2,FALSE,Alert for Expired Certificate detected in Compute Engine on GCP,pci,TRUE,,,BR,Sao Paulo,9aa0037c-ba03-4afc-a37f-b6c2bc5efa6b,Talos,72 hours,Intern,Workstation,Staging,None,Test system,TICK-7947,26,0.76,Owner=Security,Third-Party,Complete,Patched,CVE-2020-9010,PII,/deleteFile,AWS-Prod,Tier 3,P4,1091,IT,LOAH68671475607567,Jenna Smith,Ashley Graham,New bring exist just figure worry.,4/25/2025 13:32,Mitigated
ALERT-100024,Azure,Data Exfiltration,High,Investigating,australia-southeast1,SQL DB,d071c8bf-bd3c-4ce9-9727-c1b181e1f3be,094492ad-540d-490a-9f8d-19d1a380e9e6,adamspamela@mccann-matthews.com,214.141.205.80,160.147.112.128,3/1/2025 23:13,WIZ AutoFocus,Update Policy,POL-9270,Data Exfiltration Policy,ISO 27001,FALSE,TRUE,SSL,25,36.1,5,2,FALSE,Alert for Data Exfiltration detected in SQL DB on Azure,"internal,critical,dev",FALSE,underwoodlauren@ortiz-villarreal.com,,IN,Bangalore,63c81004-9716-42eb-aa64-36b2ddd7bcd7,VirusTotal,8 hours,Intern,Workstation,Staging,Known benign,Misclassification,TICK-2979,26,0.31,Env=Dev,Third-Party,Pending,Patched,CVE-2015-9792,PII,/login,Azure-Dev,Tier 3,P3,320,Engineering,IOEY42514960437120,Marcus Owens,Charles Smith,Medical mean note letter floor seek way.,4/24/2025 21:31,Resolved
ALERT-100025,Azure,API Threat,High,Open,europe-west2,Active Directory,a2c22617-07df-4bca-917b-ebf5b50066d8,a902d0ae-d40b-4afe-88e9-17a654e1adb9,kathryn86@stokes-brock.com,99.51.10.95,139.142.192.122,2/4/2025 12:27,WIZ Knex Cloud,Revoke Access,POL-3471,API Threat Policy,GDPR,FALSE,TRUE,None,443,127.73,7,4,FALSE,Alert for API Threat detected in Active Directory on Azure,"internal,pci,prod",TRUE,,,DE,Berlin,cbe2a0ea-5001-421d-b650-d4ac3d17324c,Talos,8 hours,Intern,Server,Production,None,Misclassification,TICK-1873,21,0.11,Dept=Finance,Third-Party,Complete,Not Applicable,CVE-2024-8639,PII,,GCP-Test,Tier 3,P4,1209,IT,DCPR23848659887070,Kristine Smith,Courtney Pearson,Beyond blue sport decide sing ever.,4/25/2025 1:55,Resolved
ALERT-100026,Azure,Disabled Logging,Critical,Investigating,us-east-1,AKS,70b7eb98-4709-4d8b-a052-7a74ef16d918,71720805-e7c0-4066-90ee-588fc300d744,gwendolyn09@gmail.com,111.63.83.206,70.96.61.134,4/25/2025 7:40,WIZ Blaze,Update Policy,POL-1096,Disabled Logging Policy,SOC2,FALSE,FALSE,SSL,21,187.75,9,5,TRUE,Alert for Disabled Logging detected in AKS on Azure,"pci,test",FALSE,jasonbarber@turner.net,,IN,Bangalore,b462ca0f-3b81-4206-9fc7-9aba899832cb,AlienVault,24 hours,Manager,IoT Device,Staging,Whitelisted,Test system,TICK-6279,24,0.38,Owner=Security,Third-Party,Pending,Not Applicable,CVE-2016-5940,PCI,/updateRecord,AWS-Prod,Tier 3,P1,1420,Engineering,OKAY08488767385117,Jocelyn Blankenship,Tracy Adams,Unit simply writer whole difference.,4/23/2025 7:35,Monitoring
ALERT-100027,Azure,S3 Bucket Exposure,Medium,Investigating,centralus,NSG,928b61e2-81e9-4788-9697-012644fbbffe,808f88ba-e5cd-44cd-85b2-ecb6a1a187a6,sonyafernandez@yahoo.com,162.193.98.113,208.1.121.191,1/27/2025 2:10,WIZ Vertex FSOAR,Update Policy,POL-3091,S3 Bucket Exposure Policy,CIS,FALSE,TRUE,AES-256,5432,193.92,3,4,TRUE,Alert for S3 Bucket Exposure detected in NSG on Azure,gdpr,FALSE,donald28@lee-johnson.com,,DE,Berlin,2cb93753-65ca-4186-8eb3-2ecbb16cc938,AlienVault,24 hours,Manager,Server,Staging,Whitelisted,Behavior expected,TICK-6009,5,0.77,Owner=Security,Manual,In Progress,Not Applicable,CVE-2010-9542,PHI,/downloadReport,AWS-Prod,Tier 1,P3,373,Security,JKNX81637574898398,Meghan Jordan,Jerry Herman,Along house certain.,4/21/2025 21:13,Mitigated
ALERT-100028,Azure,Suspicious Network Activity,Medium,Open,centralus,Active Directory,2f14d609-20e0-48cf-95a5-b92ae27dca09,f2babe13-73a3-42e1-93e5-9f319a0d82e0,albert96@hotmail.com,164.161.245.168,142.57.16.93,1/28/2025 0:01,WIZ Blaze,Auto-Remediate,POL-2341,Suspicious Network Activity Policy,None,TRUE,TRUE,TLS,3389,50.16,2,1,TRUE,Alert for Suspicious Network Activity detected in Active Directory on Azure,pci,TRUE,,,US,San Francisco,f6fb3839-2845-4156-ba8d-52d461e446d7,IBM X-Force,4 hours,Manager,Workstation,Production,Known benign,Test system,TICK-7592,37,0.23,Env=Prod,Manual,In Progress,Patched,CVE-2020-1741,None,,GCP-Test,Tier 3,P2,761,HR,OPDS97926140327725,Kristina Hernandez,Michael Chambers,Benefit product hope year common budget.,4/24/2025 22:17,Resolved
